endTime,artistName,trackName,msPlayed
2023-05-26 14:52,Andrés Calamaro,Te quiero igual,188394
2023-05-26 14:56,ROSALÍA,BESO,194543
2023-05-26 14:58,Emilia,Jagger.mp3,155861
2023-05-26 15:01,Lola Indigo,EL TONTO,188087
2023-05-26 15:07,Lola Indigo,EL TONTO,166809
2023-05-26 15:09,Quevedo,LISBOA,151304
2023-05-26 15:12,Quevedo,YANKEE,194400
2023-05-26 15:13,Catupecu Machu,A Veces Vuelvo,40841
2023-05-26 15:15,Milo j,Milagrosa,140288
2023-05-26 15:19,Luck Ra,Ya No Vuelvas (Versión Cuarteto),204000
2023-05-26 15:21,Emilia,Jagger.mp3,155861
2023-05-26 15:24,Eladio Carrion,Me Gustas Natural,170078
2023-05-26 15:27,Lola Indigo,EL TONTO,188087
2023-05-26 15:31,ROSALÍA,BESO,194543
2023-05-26 15:33,Quevedo,LISBOA,151304
2023-05-26 15:36,Feid,Normal,171880
2023-05-26 15:39,Quevedo,YANKEE,194400
2023-05-26 15:43,Quevedo,MUÑECA,210750
2023-05-26 15:45,Taiu,Rara Vez,128677
2023-05-26 15:48,TINI,Cupido,174369
2023-05-26 15:51,Quevedo,WANDA,160909
2023-05-26 15:53,TINI,Las Jordans,144799
2023-05-26 15:57,Rei,FERNET,5491
2023-05-26 15:57,Quevedo,PLAYA DEL INGLÉS,237525
2023-05-26 15:58,Cris Mj,Marisola - Remix,54125
2023-05-26 16:05,La Joaqui,Amanecemos,198183
2023-05-26 16:08,Eslabon Armado,Ella Baila Sola,165671
2023-05-26 16:11,Miranda!,Perfecta (Versión 2023),189041
2023-05-26 16:13,Milo j,AL BORDE,148321
2023-05-26 16:16,Lauty Gram,Vida Gangster,170058
2023-05-26 16:19,BM,M.A (Mejores Amigos),158309
2023-05-26 16:22,Bad Bunny,WHERE SHE GOES,231704
2023-05-26 16:22,Feid,Feliz Cumpleaños Ferxxo,5330
2023-05-26 16:22,Taiu,Rara Vez,905
2023-05-26 16:23,Big One,En La Intimidad | CROSSOVER #1,673
2023-05-26 16:23,TINI,Muñecas,1277
2023-05-26 16:23,ECKO,Te Escapas De Mis Brazos (Remix),975
2023-05-26 16:25,Big One,En La Intimidad | CROSSOVER #1,165854
2023-05-26 16:30,ECKO,Te Escapas De Mis Brazos (Remix),217826
2023-05-26 16:32,Mesita,Dale Mecha,150829
2023-05-26 16:36,Ke Personajes,Pobre Corazón - En Vivo,198930
2023-05-26 16:38,The La Planta,DISCOTEKA (feat. Locura Mix),106088
2023-05-26 16:49,BM,M.A - Remix,0
2023-05-26 16:49,Maria Becerra,ADIÓS,156244
2023-05-26 16:52,Feid,Classy 101,195986
2023-05-26 16:56,Nicki Nicole,CAEN LAS ESTRELLAS,145171
2023-05-26 16:56,Yandel,Yandel 150,673
2023-05-26 16:56,Maria Becerra,ADIÓS,7008
2023-05-26 16:58,LiL CaKe,MERCHO,161451
2023-05-26 17:01,Grupo Frontera,un x100to,186375
2023-05-26 17:03,Camila,Decidiste Dejarme,1137
2023-05-26 17:03,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",65085
2023-05-26 17:03,Airbag,Solo aquí,2345
2023-05-26 17:06,Los Abuelos De La Nada,Mil Horas,210697
2023-05-26 17:06,Callejeros,9 de Julio,1555
2023-05-26 17:06,Julieta Venegas,Limón y Sal,1880
2023-05-26 17:06,Los Cafres,Tus Ojos,766
2023-05-26 17:06,Los Abuelos De La Nada,Costumbres Argentinas,5331
2023-05-26 17:09,Attaque 77,Arrancacorazones,1462
2023-05-26 17:09,Andrés Calamaro,Cartas Sin Marcar,141734
2023-05-26 17:09,Ulises Bueno,Intento,1114
2023-05-26 17:12,Ulises Bueno,Intento,233560
2023-05-26 17:13,Attaque 77,Arrancacorazones,9590
2023-05-26 17:13,Andrés Calamaro,Te quiero igual,5317
2023-05-26 17:15,Luis Alberto Spinetta,Seguir Viviendo Sin Tu Amor,11888
2023-05-26 17:27,Serú Girán,"Viernes, 3AM",13888
2023-05-26 17:27,Luis Alberto Spinetta,Seguir Viviendo Sin Tu Amor,7488
2023-05-26 17:27,Catupecu Machu,A Veces Vuelvo,3434
2023-05-26 17:27,Andrés Calamaro,Te quiero igual,3840
2023-05-26 17:27,Gustavo Cerati,Deja Vu,4778
2023-05-26 17:28,Andrés Calamaro,Cartas Sin Marcar,11135
2023-05-29 18:25,Andrés Calamaro,Cartas Sin Marcar,253730
2023-05-29 18:28,ROSALÍA,BESO,194543
2023-05-29 18:31,Feid,Classy 101,195986
2023-05-29 18:34,Emilia,Jagger.mp3,155861
2023-05-29 18:45,Lola Indigo,EL TONTO,187456
2023-05-29 19:02,Quevedo,YANKEE,176348
2023-05-29 19:09,Attaque 77,Arrancacorazones,7534
2023-05-29 19:09,Quevedo,LISBOA,151304
2023-05-29 19:14,Andrés Calamaro,Cartas Sin Marcar,264866
2023-05-29 19:17,Big One,Un Finde | CROSSOVER #2,162500
2023-05-29 19:20,Yng Lvcas,La Bebe - Remix,136791
2023-05-29 19:25,BM,M.A - Remix,272727
2023-05-29 19:26,Ke Personajes,Pobre Corazón - En Vivo,106004
2023-05-29 19:29,Tiago PZK,Me Enteré,182075
2023-05-29 19:33,Feid,Classy 101,195986
2023-05-29 19:41,Big One,En La Intimidad | CROSSOVER #1,165854
2023-05-29 19:44,Grupo Frontera,un x100to,194563
2023-05-29 19:47,Luck Ra,Ya No Vuelvas (Versión Cuarteto),204000
2023-05-29 19:50,Emilia,No_se_ve.mp3,203636
2023-05-29 19:53,Maria Becerra,ADIÓS,135711
2023-05-29 19:53,Eslabon Armado,Ella Baila Sola,1811
2023-05-29 19:53,Nicki Nicole,DISPARA ***,2275
2023-05-29 19:53,BM,M.A (Mejores Amigos),1068
2023-05-29 19:55,Mesita,Dale Mecha,150829
2023-05-29 19:57,Taiu,Rara Vez,128677
2023-05-29 19:58,Yandel,Yandel 150,18178
2023-05-29 19:58,Bad Bunny,WHERE SHE GOES,1091
2023-05-29 19:58,LiL CaKe,MERCHO,835
2023-05-29 19:58,Miranda!,Perfecta (Versión 2023),789
2023-05-29 20:02,KAROL G,TQG,719
2023-05-29 20:02,Maria Becerra,Te Cura,13462
2023-05-29 20:02,Ke Personajes,Si No Te Tengo / Ángel / Aquello Que Pasó,3227
2023-05-29 20:02,Shakira,Acróstico,1091
2023-05-29 20:02,Andrés Calamaro,Cartas Sin Marcar,264866
2023-05-29 20:02,Emilia,Jagger.mp3,1439
2023-05-29 20:03,La Joaqui,Amanecemos,673
2023-05-29 20:03,Damas Gratis,Costumbres - Vivo,789
2023-05-29 20:03,Manuel Turizo,La Bachata,766
2023-05-29 20:03,Milo j,AL BORDE,650
2023-05-29 20:03,Feid,Feliz Cumpleaños Ferxxo,580
2023-05-29 20:03,ROSALÍA,BESO,1346
2023-05-29 20:03,Feid,Normal,1068
2023-05-29 20:03,TINI,Muñecas,1277
2023-05-29 20:03,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",1021
2023-05-29 20:03,The La Planta,DISCOTEKA (feat. Locura Mix),719
2023-05-29 20:03,Cris Mj,Marisola - Remix,1137
2023-05-29 20:03,Luck Ra,Quiero Creer,1439
2023-05-29 20:03,ECKO,Te Escapas De Mis Brazos (Remix),673
2023-05-29 20:03,Lolo OG,Azote - Remix,534
2023-05-29 20:03,TINI,Cupido,1811
2023-05-29 20:05,Nicki Nicole,CAEN LAS ESTRELLAS,145171
2023-05-29 20:06,Camila,Decidiste Dejarme,5201
2023-05-29 20:06,Lauty Gram,Vida Gangster,1532
2023-05-29 20:06,Quevedo,PUNTO G,603
2023-05-29 20:06,Attaque 77,Arrancacorazones,1207
2023-05-29 20:06,Rei,Tu Turrito,812
2023-05-29 20:06,Ke Personajes,Otro Día Más,1927
2023-05-29 20:06,Ozuna,Hey Mor,11740
2023-05-29 20:06,WOS,ARRANCARMELO,17856
2023-05-29 20:06,Eladio Carrion,Coco Chanel,1416
2023-05-29 20:06,Feid,Niña Bonita,1509
2023-05-29 20:06,Nicki Nicole,qué le pasa conmigo?,859
2023-05-29 20:09,Nicki Nicole,DISPARA ***,143935
2023-05-29 20:10,Quevedo,PUNTO G,41745
2023-05-29 20:10,Ulises Bueno,Intento,185
2023-05-29 20:14,Intoxicados,Nunca quise,260371
2023-05-29 20:16,Julieta Venegas,Me Voy,128716
2023-05-29 20:16,Los Cafres,Tus Ojos,2368
2023-05-29 20:16,Airbag,Solo aquí,859
2023-05-29 20:21,Catupecu Machu,A Veces Vuelvo,266133
2023-05-29 20:22,Andrés Calamaro,Cartas Sin Marcar,97947
2023-05-31 10:22,Llane,Será,1984
2023-05-31 10:25,PARTYNEXTDOOR,BELIEVE IT,183219
2023-05-31 10:25,KHEA,Dónde Estás,7004
2023-05-31 10:28,Milo j,Morocha,139172
2023-05-31 10:30,Bad Bunny,Si Estuviésemos Juntos,169247
2023-05-31 10:34,Yera,Que Fluya - Remix,201875
2023-05-31 10:34,KHEA,tu msj </3,1685
2023-05-31 10:34,Ovy On The Drums,Inolvidable,4674
2023-05-31 10:37,Rels B,SIN MIRAR LAS SEÑALES,180000
2023-05-31 10:37,Sech,Falsas Promesas,6810
2023-05-31 10:37,Rels B,Como Antes,1493
2023-05-31 10:37,Danny Ocean,Dembow,874
2023-05-31 10:40,Danny Ocean,Dembow,215082
2023-05-31 10:42,Bizarrap,"KHEA: Bzrp Music Sessions, Vol. 34",5699
2023-05-31 10:42,Rels B,Como Antes,142576
2023-05-31 10:43,Trueno,Hood - Remix,1066
2023-05-31 10:43,Bad Bunny,TE MUDASTE,3797
2023-05-31 10:45,Rauw Alejandro,Aquel Nap ZzZz,9597
2023-05-31 10:45,Rels B,Un Verano En Mallorca,144039
2023-05-31 10:47,Rels B,cómo dormiste?,112572
2023-05-31 10:51,Bad Bunny,Si Estuviésemos Juntos,169247
2023-05-31 10:54,Rels B,SIN MIRAR LAS SEÑALES,180000
2023-05-31 10:56,KHEA,tu msj </3,119498
2023-05-31 10:59,"Tyler, The Creator",EARFQUAKE,190066
2023-05-31 11:02,Mura Masa,Love$ick (feat. A$AP Rocky),192160
2023-05-31 11:05,Travis Scott,goosebumps,207863
2023-05-31 19:33,Foster The People,Sit Next to Me,3946
2023-05-31 19:33,Travis Scott,goosebumps,3221
2023-05-31 19:38,Kanye West,Only One,280226
2023-05-31 19:39,Drake,IMY2 (with Kid Cudi),65751
2023-05-31 19:43,Wiz Khalifa,The Thrill,234333
2023-05-31 19:45,Juice WRLD,Hear Me Calling,135410
2023-05-31 19:47,YNW Melly,Murder On My Mind,138751
2023-05-31 19:51,Frank Ocean,Pink + White,32426
2023-05-31 19:51,Rhye,Song For You,3690
2023-05-31 19:51,Drake,Massive,2325
2023-05-31 19:51,Drake,Chicago Freestyle (feat. Giveon),180458
2023-05-31 19:51,Drake,In My Feelings,1493
2023-05-31 19:51,Anderson .Paak,Miss Right,1002
2023-05-31 19:51,Future,Life Is Good (feat. Drake),1834
2023-05-31 19:53,J. Cole,No Role Modelz,10172
2023-05-31 19:53,Dominic Fike,Babydoll,97960
2023-05-31 19:53,Anderson .Paak,'Til It's Over,7189
2023-05-31 19:53,French Montana,Unforgettable,1856
2023-05-31 19:53,Drake,Passionfruit,682
2023-05-31 19:53,Kanye West,Homecoming,661
2023-06-01 18:12,Anderson .Paak,'Til It's Over,88981
2023-06-01 18:15,ROSALÍA,BESO,194543
2023-06-01 18:18,Emilia,Jagger.mp3,155861
2023-06-01 18:21,Feid,Classy 101,195986
2023-06-01 18:24,Lola Indigo,EL TONTO,184775
2023-06-01 18:24,Quevedo,YANKEE,1306
2023-06-01 18:29,Feid,Feliz Cumpleaños Ferxxo,1416
2023-06-01 18:29,Anderson .Paak,'Til It's Over,831
2023-06-01 18:29,Shakira,Acróstico,1230
2023-06-01 18:32,Feid,Normal,4161
2023-06-01 18:32,Emilia,Jagger.mp3,155522
2023-06-01 18:34,LiL CaKe,MERCHO,161451
2023-06-01 18:35,KAROL G,TQG,766
2023-06-01 18:35,Manuel Turizo,La Bachata,859
2023-06-01 18:35,Big One,Un Finde | CROSSOVER #2,23
2023-06-01 18:35,The La Planta,DISCOTEKA (feat. Locura Mix),603
2023-06-01 18:35,The La Planta,DISCOTEKA (feat. Locura Mix),859
2023-06-01 18:35,The La Planta,DISCOTEKA (feat. Locura Mix),696
2023-06-01 18:35,Eladio Carrion,Coco Chanel,325
2023-06-01 18:35,Eladio Carrion,Coco Chanel,0
2023-06-01 18:35,ECKO,Te Escapas De Mis Brazos (Remix),557
2023-06-01 18:35,Feid,Niña Bonita,34446
2023-06-01 18:39,ECKO,Te Escapas De Mis Brazos (Remix),217826
2023-06-01 18:41,Big One,Un Finde | CROSSOVER #2,162500
2023-06-01 18:44,TINI,Cupido,174369
2023-06-01 18:47,Feid,Classy 101,195986
2023-06-01 18:51,La Joaqui,Amanecemos,198183
2023-06-01 18:52,Eslabon Armado,Ella Baila Sola,98983
2023-06-01 18:55,BM,M.A (Mejores Amigos),158309
2023-06-01 18:58,Ke Personajes,Pobre Corazón - En Vivo,198930
2023-06-01 19:02,Yandel,Yandel 150,216148
2023-06-01 19:09,Ke Personajes,Si No Te Tengo / Ángel / Aquello Que Pasó,428438
2023-06-01 19:11,Nicki Nicole,DISPARA ***,143935
2023-06-01 19:14,Lauty Gram,Vida Gangster,170058
2023-06-01 19:18,BM,M.A - Remix,272727
2023-06-01 19:21,Luck Ra,Ya No Vuelvas (Versión Cuarteto),204000
2023-06-01 19:25,Bad Bunny,WHERE SHE GOES,231704
2023-06-01 19:29,Cris Mj,Marisola - Remix,237473
2023-06-01 19:30,WOS,ARRANCARMELO,52728
2023-06-01 19:33,ROSALÍA,BESO,194935
2023-06-01 19:35,Taiu,Rara Vez,128677
2023-06-01 19:36,Feid,Normal,905
2023-06-01 19:39,LiL CaKe,MERCHO,161451
2023-06-01 19:42,Feid,Niña Bonita,187653
2023-06-01 19:44,KAROL G,TQG,5619
2023-06-01 19:44,Manuel Turizo,La Bachata,111886
2023-06-01 19:44,Travis Scott,goosebumps,2136
2023-06-01 19:47,YNW Melly,Murder On My Mind,171966
2023-06-01 19:51,Drake,Signs,234373
2023-06-01 19:52,Dominic Fike,Babydoll,97960
2023-06-01 19:54,Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,10657
2023-06-01 19:54,Mura Masa,Love$ick (feat. A$AP Rocky),88859
2023-06-01 19:56,Frank Ocean,Nights,100054
2023-06-01 19:59,Frank Ocean,Chanel,210285
2023-06-01 20:04,J. Cole,No Role Modelz,859
2023-06-01 20:04,Kanye West,Only One,268686
2023-06-01 20:04,J. Cole,Wet Dreamz,882
2023-06-01 20:08,J. Cole,No Role Modelz,265357
2023-06-01 20:08,J. Cole,Wet Dreamz,8753
2023-06-01 20:12,Intoxicados,Nunca quise,64
2023-06-01 20:12,Intoxicados,Nunca quise,1109
2023-06-01 20:12,Intoxicados,Nunca quise,234
2023-06-01 20:12,Intoxicados,Nunca quise,63
2023-06-01 20:12,Intoxicados,Nunca quise,85
2023-06-01 20:12,Intoxicados,Nunca quise,405
2023-06-01 20:12,Intoxicados,Nunca quise,106
2023-06-01 20:12,Intoxicados,Nunca quise,213
2023-06-01 20:12,Intoxicados,Nunca quise,341
2023-06-01 20:12,Intoxicados,Nunca quise,149
2023-06-01 20:12,Intoxicados,Nunca quise,5568
2023-06-01 20:12,Intoxicados,Nunca quise,831
2023-06-01 20:12,Intoxicados,Nunca quise,170
2023-06-01 20:12,Intoxicados,Nunca quise,206449
